periode_data,tanggal,lokasi_spku,pm10,pm25,so2,co,o3,no2,max,critical,categori,stasiun
202401,24/1/2024,DKI3,46.0,65.0,46.0,8.0,9.0,38.0,65,PM25,SEDANG,Jagakarsa
202401,25/1/2024,DKI3,37.0,55.0,47.0,7.0,11.0,28.0,55,PM25,SEDANG,Jagakarsa
202401,26/1/2024,DKI3,43.0,62.0,50.0,7.0,15.0,14.0,62,PM25,SEDANG,Jagakarsa
202401,27/1/2024,DKI3,40.0,52.0,48.0,8.0,12.0,10.0,52,PM25,SEDANG,Jagakarsa
202401,28/1/2024,DKI3,40.0,62.0,48.0,12.0,12.0,18.0,62,PM25,SEDANG,Jagakarsa
202401,29/1/2024,DKI3,33.0,44.0,47.0,14.0,12.0,24.0,47,SO2,BAIK,Jagakarsa
202401,30/1/2024,DKI3,58.0,46.0,48.0,22.0,12.0,33.0,58,PM10,SEDANG,Jagakarsa
202401,31/1/2024,DKI3,37.0,47.0,7.0,26.0,17.0,17.0,47,PM25,BAIK,Jagakarsa
202404,7/4/2024,DKI1,48.0,68.0,12.0,22.0,36.0,34.0,68,PM25,SEDANG,Bundaran HI
202404,8/4/2024,DKI1,50.0,65.0,13.0,19.0,44.0,31.0,65,PM25,SEDANG,Bundaran HI
202404,9/4/2024,DKI1,40.0,62.0,15.0,20.0,34.0,24.0,62,PM25,SEDANG,Bundaran HI
202404,10/4/2024,DKI1,55.0,76.0,14.0,26.0,37.0,34.0,76,PM25,SEDANG,Bundaran HI
202404,11/4/2024,DKI1,40.0,54.0,10.0,18.0,31.0,26.0,54,PM25,SEDANG,Bundaran HI
202404,12/4/2024,DKI1,24.0,45.0,9.0,15.0,30.0,24.0,45,PM25,BAIK,Bundaran HI
202404,13/4/2024,DKI1,33.0,53.0,10.0,20.0,31.0,29.0,53,PM25,SEDANG,Bundaran HI
202404,14/4/2024,DKI1,27.0,47.0,9.0,17.0,34.0,23.0,47,PM25,BAIK,Bundaran HI
202404,15/4/2024,DKI1,27.0,46.0,9.0,19.0,27.0,25.0,46,PM25,BAIK,Bundaran HI
202404,16/4/2024,DKI1,32.0,52.0,13.0,17.0,25.0,20.0,52,PM25,SEDANG,Bundaran HI
202404,17/4/2024,DKI1,46.0,69.0,12.0,21.0,35.0,32.0,69,PM25,SEDANG,Bundaran HI
202404,18/4/2024,DKI1,44.0,60.0,11.0,24.0,33.0,37.0,60,PM25,SEDANG,Bundaran HI
202404,19/4/2024,DKI1,41.0,60.0,14.0,21.0,25.0,38.0,60,PM25,SEDANG,Bundaran HI
202404,20/4/2024,DKI1,57.0,77.0,20.0,22.0,24.0,33.0,77,PM25,SEDANG,Bundaran HI
202404,21/4/2024,DKI1,40.0,52.0,13.0,18.0,24.0,25.0,52,PM25,SEDANG,Bundaran HI
202404,22/4/2024,DKI1,53.0,71.0,13.0,22.0,23.0,40.0,71,PM25,SEDANG,Bundaran HI
202404,23/4/2024,DKI1,52.0,70.0,14.0,25.0,17.0,41.0,70,PM25,SEDANG,Bundaran HI
202404,26/4/2024,DKI1,41.0,58.0,13.0,19.0,26.0,35.0,58,PM25,SEDANG,Bundaran HI
202404,27/4/2024,DKI1,53.0,73.0,19.0,22.0,20.0,34.0,73,PM25,SEDANG,Bundaran HI
202404,28/4/2024,DKI1,51.0,74.0,13.0,25.0,28.0,34.0,74,PM25,SEDANG,Bundaran HI
202404,29/4/2024,DKI1,50.0,65.0,13.0,17.0,28.0,28.0,65,PM25,SEDANG,Bundaran HI
202404,30/4/2024,DKI1,53.0,70.0,16.0,18.0,27.0,33.0,70,PM25,SEDANG,Bundaran HI
202404,1/4/2024,DKI2,78.0,111.0,58.0,15.0,35.0,44.0,111,PM25,TIDAK SEHAT,Kelapa Gading
202404,3/4/2024,DKI2,71.0,93.0,56.0,13.0,30.0,32.0,93,PM25,SEDANG,Kelapa Gading
202404,6/4/2024,DKI2,59.0,83.0,55.0,18.0,18.0,38.0,83,PM25,SEDANG,Kelapa Gading
202404,7/4/2024,DKI2,52.0,71.0,55.0,13.0,24.0,19.0,71,PM25,SEDANG,Kelapa Gading
202404,8/4/2024,DKI2,55.0,82.0,56.0,14.0,29.0,21.0,82,PM25,SEDANG,Kelapa Gading
202404,9/4/2024,DKI2,43.0,67.0,55.0,11.0,22.0,18.0,67,PM25,SEDANG,Kelapa Gading
202404,10/4/2024,DKI2,65.0,95.0,56.0,23.0,26.0,27.0,95,PM25,SEDANG,Kelapa Gading
202404,11/4/2024,DKI2,40.0,57.0,56.0,10.0,23.0,16.0,57,PM25,SEDANG,Kelapa Gading
202404,12/4/2024,DKI2,27.0,46.0,54.0,5.0,28.0,0.0,54,SO2,SEDANG,Kelapa Gading
202404,13/4/2024,DKI2,36.0,59.0,55.0,14.0,22.0,33.0,59,PM25,SEDANG,Kelapa Gading
202404,14/4/2024,DKI2,31.0,53.0,54.0,7.0,27.0,8.0,54,SO2,SEDANG,Kelapa Gading
202404,15/4/2024,DKI2,33.0,55.0,55.0,11.0,21.0,26.0,55,PM25,SEDANG,Kelapa Gading
202404,16/4/2024,DKI2,36.0,57.0,55.0,7.0,21.0,17.0,57,PM25,SEDANG,Kelapa Gading
